CT Hotel ID,Market Name
40260,Chains
40261,Chains
330401,Chains
1328530,Chains
724016,Chains
377739,Chains
1360068,Chains
1349750,Chains
40256,Chains
1357262,Chains
1361748,Chains
1345106,Chains
211348,Chains
1358008,Chains
1361214,Chains
868598,Chains
1353936,Chains
1337568,Chains
2050832,Chains
1361406,Chains
307240,Chains
718247,Chains
1354374,Chains
1360950,Chains
1361572,Chains
2045100,Chains
2048302,Chains
737440,Chains
2050880,Chains
2043520,Chains
2050222,Chains
707578,Chains
869498,Chains
707624,Chains
2050532,Chains
726143,Chains
2050528,Chains
726142,Chains
379186,Chains
378938,Chains
382652,Chains
